ID,hash_Key,path,validation
1,package_title,$.title,value
2,type,$.type,value
3,field_offer_type_en_0_target_id,$.field_offer_type['en'][0]['target_id'],value
4,field_offer_type_en_0_value,$.field_viewing_period['en'][0]['value'],value
5,field_description_en_0_format,$.field_description['en'][0]['format'],value
6,asset_ids_0,$.asset_ids[0],value
7,package_id,$.package_id,value
8,package_type,$.package_type,value
9,window_status,$.window_status,value
10,package_filters_0,$.package_filters[0],value
11,global_offset,$.global_offset,value
12,package_id,$.id,value
13,,$._links['self']['href'],200
14,,$._links['ooyala:asset'][0]['href'],200
15,links_ooyala_asset_0_asset_class,$._links['ooyala:asset'][0]['asset_class'],value
16,embedded_ooyala_asset_0_title,$._embedded['ooyala:asset'][0]['title'],value
17,embedded_ooyala_asset_0_type,$._embedded['ooyala:asset'][0]['type'],value
18,embedded_ooyala_asset_0_field_asset_aspect_ratio_en_0_value,$._embedded['ooyala:asset'][0]['field_asset_aspect_ratio']['en'][0]['value'],value
19,embedded_ooyala_asset_0_field_asset_aspect_ratio_en_0_format,$._embedded['ooyala:asset'][0]['field_asset_aspect_ratio']['en'][0]['format'],value
20,embedded_ooyala_asset_0_field_asset_sound_en_0_value,$._embedded['ooyala:asset'][0]['field_asset_sound']['en'][0]['value'],value
21,embedded_ooyala_asset_0_field_asset_sound_en_0_format,$._embedded['ooyala:asset'][0]['field_asset_sound']['en'][0]['format'],value
22,embedded_ooyala_asset_0_field_asset_status_en_0_value,$._embedded['ooyala:asset'][0]['field_asset_status']['en'][0]['value'],value
23,embedded_ooyala_asset_0_field_asset_status_en_0_format,$._embedded['ooyala:asset'][0]['field_asset_status']['en'][0]['format'],value
24,embedded_ooyala_asset_0_field_closed_captions_en_0_value,$._embedded['ooyala:asset'][0]['field_closed_captions']['en'][0]['value'],value
25,embedded_ooyala_asset_0_field_color_en_0_value,$._embedded['ooyala:asset'][0]['field_color']['en'][0]['value'],value
26,embedded_ooyala_asset_0_field_color_en_0_format,$._embedded['ooyala:asset'][0]['field_color']['en'][0]['format'],value
27,embedded_ooyala_asset_0_field_duration_en_0_value,$._embedded['ooyala:asset'][0]['field_duration']['en'][0]['value'],value
28,embedded_ooyala_asset_0_field_duration_en_0_format,$._embedded['ooyala:asset'][0]['field_duration']['en'][0]['format'],value
29,embedded_ooyala_asset_0_field_subtitles_en_0_value,$._embedded['ooyala:asset'][0]['field_subtitles']['en'][0]['value'],value
30,embedded_ooyala_asset_0_field_video_format_en_0_value,$._embedded['ooyala:asset'][0]['field_video_format']['en'][0]['value'],value
31,embedded_ooyala_asset_0_window_start,$._embedded['ooyala:asset'][0]['window_start'],value
32,embedded_ooyala_asset_0_window_end,$._embedded['ooyala:asset'][0]['window_end'],value
33,embedded_ooyala_asset_0_asset_class,$._embedded['ooyala:asset'][0]['asset_class'],value
34,embedded_ooyala_asset_0_ooyala,$._embedded['ooyala:asset'][0]['ooyala'],value
35,embedded_ooyala_asset_0_asset_id,$._embedded['ooyala:asset'][0]['asset_id'],value
36,embedded_ooyala_asset_0_id,$._embedded['ooyala:asset'][0]['id'],value
37,,$._embedded['ooyala:asset'][0]['_links']['self']['href'],200
38,embedded_ooyala_asset_0_title,$._embedded['ooyala:asset'][0]['title'],value
39,embedded_ooyala_asset_0_type,$._embedded['ooyala:asset'][0]['type'],value
40,embedded_ooyala_asset_0_field_asset_aspect_ratio_en_0_value,$._embedded['ooyala:asset'][0]['field_asset_aspect_ratio']['en'][0]['value'],value
41,embedded_ooyala_asset_0_field_asset_aspect_ratio_en_0_format,$._embedded['ooyala:asset'][0]['field_asset_aspect_ratio']['en'][0]['format'],value
42,embedded_ooyala_asset_0_field_asset_sound_en_0_value,$._embedded['ooyala:asset'][0]['field_asset_sound']['en'][0]['value'],value
43,embedded_ooyala_asset_0_field_asset_status_en_0_value,$._embedded['ooyala:asset'][0]['field_asset_status']['en'][0]['value'],value
